<<<<<<< HEAD
<<<<<<< HEAD
Playa de Las Catedrales,Lugo,27794,1,4
Playa de Bolonia,Cádiz,11391,1,5
Playa de Rodas,Pontevedra,36945,1,5
Playa de Muro,Illes Balears,07458,1,4
Playa de Cofete,Las Palmas,35629,1,5
Playa de Zahara de los Atunes,Cádiz,11393,1,4
Playa de Los Genoveses,Almería,04118,1,4
Playa de la Barrosa,Cádiz,11139,1,5
Playa de la Malagueta,Málaga,29016,1,4
Playa de Maspalomas,Las Palmas,35100,1,5
Playa de la Victoria,Cádiz,11010,1,5
Playa de la Lanzada,Pontevedra,36990,1,4
Playa de Es Trenc,Illes Balears,07639,1,5
Playa de la Cala del Moral,Málaga,29720,1,4
Playa del Silencio,Asturias,33157,1,5
Playa de Torimbia,Asturias,33596,1,5
Playa de Itzurun,Gipuzkoa,20750,1,4
Playa de Valdevaqueros,Cádiz,11380,1,5
Playa de El Palmar,Cádiz,11159,1,5
=======
Playa de Las Catedrales,Lugo,27794,1,4,Conocida por sus impresionantes formaciones rocosas y arcos naturales es un espectáculo de la naturaleza durante la marea baja.
Playa de Bolonia,Cádiz,11391,1,5,Famosa por sus dunas de arena y el yacimiento arqueológico de Baelo Claudia es un lugar perfecto para disfrutar de la naturaleza y la historia.
Playa de Rodas,Pontevedra,36945,1,5,Ubicada en las Islas Cíes esta playa es conocida por su arena blanca y aguas cristalinas y ha sido comparada con playas caribeñas.
Playa de Muro,Illes Balears,07458,1,4,Con aguas turquesas y arena fina es ideal para familias y actividades acuáticas.
Playa de Cofete,Las Palmas,35629,1,5,Una playa salvaje y remota en Fuerteventura conocida por su belleza natural y tranquilidad.
Playa de Zahara de los Atunes,Cádiz,11393,1,4,Destino popular para los amantes del atún rojo y sus amplias y limpias playas de arena dorada.
Playa de Los Genoveses,Almería,04118,1,4,Situada en el Parque Natural de Cabo de Gata es una playa virgen con paisajes impresionantes.
Playa de la Barrosa,Cádiz,11139,1,5,Una de las mejores playas de España conocida por su arena fina aguas limpias y un ambiente familiar.
Playa de la Malagueta,Málaga,29016,1,4,Popular entre locales y turistas es una playa urbana con una gran oferta de servicios y ocio.
Playa de Maspalomas,Las Palmas,35100,1,5,Famosa por sus dunas de arena y su faro histórico es un destino turístico destacado en Gran Canaria.
Playa de la Victoria,Cádiz,11010,1,5,Una de las playas urbanas más populares de Cádiz ofrece una amplia gama de actividades y servicios.
Playa de la Lanzada,Pontevedra,36990,1,4,Situada en la costa de Galicia es conocida por sus aguas tranquilas y sus impresionantes puestas de sol.
Playa de Es Trenc,Illes Balears,07639,1,5,Esta playa virgen es famosa por su arena blanca y aguas cristalinas siendo un paraíso natural para los amantes de la tranquilidad.
Playa de la Cala del Moral,Málaga,29720,1,4,Una pequeña y acogedora playa cerca de Málaga ideal para relajarse y disfrutar del sol.
Playa del Silencio,Asturias,33157,1,5,Escondida entre acantilados esta playa es conocida por su belleza natural y su tranquilidad perfecta para escapar del bullicio.
Playa de Torimbia,Asturias,33596,1,5,Una playa nudista rodeada de acantilados y vegetación ofrece un entorno natural y tranquilo para los amantes de la naturaleza.
Playa de Itzurun,Gipuzkoa,20750,1,4,Conocida como la playa de Juego de Tronos debido a su impresionante paisaje rocoso es un destino popular para los amantes de la serie y la naturaleza.
Playa de Valdevaqueros,Cádiz,11380,1,5,Conocida por sus fuertes vientos es un paraíso para los amantes del kitesurf y windsurf además de ofrecer hermosas vistas de Marruecos.
Playa de El Palmar,Cádiz,11159,1,5,Una playa extensa con olas perfectas para el surf y un ambiente relajado que la convierte en un destino popular para los amantes del mar.
Playa de la Malvarrosa,Valencia,46011,1,4,Una de las playas más conocidas de Valencia con una amplia oferta de servicios y ocio ideal para familias.
Playa de El Saler,Valencia,46012,1,4,Situada en el Parque Natural de la Albufera es famosa por su belleza natural y sus dunas.
Playa de Gandía,Valencia,46730,1,5,Una de las playas más populares de la costa valenciana conocida por su arena fina y amplia oferta de ocio nocturno.
Playa de la Devesa,Valencia,46012,1,4,Una playa virgen y tranquila en el Parque Natural de la Albufera perfecta para los amantes de la naturaleza.
Playa de Canet Berenguer,Valencia,46529,1,4,Con aguas claras y arena fina es ideal para familias y actividades acuáticas.
Playa de Oliva,Valencia,46780,1,4,Con 8 kilómetros de costa es perfecta para practicar deportes acuáticos y disfrutar del sol.
Playa de Cullera,Valencia,46400,1,5,Con una combinación de arena fina y aguas tranquilas es un destino popular para turistas y locales.
Playa de Pinedo,Valencia,46024,1,4,Una playa cercana a la ciudad con una gran oferta de restaurantes y servicios.
Playa de Port Saplaya,Valencia,46128,1,4,Conocida como la pequeña Venecia por sus canales y coloridas casas es ideal para una escapada tranquila.
Playa de Tavernes de la Valldigna,Valencia,46760,1,4,Una playa extensa con arena fina y aguas claras ideal para relajarse y disfrutar de la naturaleza.
>>>>>>> Dario
=======
Playa de la Concha,Gipuzkoa,20007,2
Playa de Ses Illetes,Illes Balears,07871,2
Playa de Las Catedrales,Lugo,27794,1
Playa de Bolonia,Cádiz,11391,2
Playa de Rodas,Pontevedra,36945,2
Playa de Muro,Illes Balears,07458,2
Playa de Cofete,Las Palmas,35629,2
Playa de Zahara de los Atunes,Cádiz,11393,2
Playa de Los Genoveses,Almería,04118,2
Playa de la Barrosa,Cádiz,11139,2
>>>>>>> 7ac9634abf42d130cddee06a20dc4b1edd821775
